A/C REG,Flight Airport Arrival,Created Date,Number,Location,Text,Action Latest Text,External Reference,Leak Location,Findings,Action Latest Signature Date,latitude,longitude,Created Date Filter,Resolution Time
A6-BNC,AUH,2024-02-03 18:39:59.572,A6-BNC001965-003,Galley G1F-1C,WATER CAME OUT OF THE DRAWER DURING TAKE OFF. ,CLEANED ICE RESIDUAL NO LEAKS CHECKED,80221236,Ice Drawer,Ice Drawer drain clogged,2024-02-03 21:35:27.149,24.426389,54.651389,2024-02-03,2.92
A6-BLD,AUH,2024-01-28 15:14:58.162,A6-BLD001604-003,Galley G1F-1C,WATER RUNNING CONTINUOUSLY FROM UNDER,R1 ICE DRAWER DRAIN FOUND CLOGGED .SAME CLEANED. NOW SATIS.NIL LEAKS.,80217405,Ice Drawer,Ice Drawer drain clogged,2024-01-28 16:21:02.820,24.426389,54.651389,2024-01-28,1.1
A6-BLK,MNL,2024-01-27 12:24:01.424,A6-BLK001725-001,Galley G4A-1C,WATER LEAKAGE FROM THE GALLEY,"CLEANED AND REMOVED WATER RESIDUAL ON R4 CENTER GALLEY. CHECK ON GROUND, NIL LEAK FOUND. ",80216722,Behind carts,Nil Leak,2024-01-27 14:26:11.351,14.5086,121.0198,2024-01-27,2.04
A6-BLZ,AMS,2024-01-21 18:01:43.923,A6-BLZ001942-002,Galley G1F-1C,WATER POURING OFF DURING TAKE OFF FROM ICE DRAWER R1 GALLEY,"CLEANED DRAWER ACC DMC38-31-25-00A RE87
",80213049,Ice Drawer,Ice Drawer cleaned,2024-01-21 19:28:11.109,52.308613,4.763889,2024-01-21,1.44
A6-BLR,JNB,2023-12-31 06:08:11.787,A6-BLR001669-002,Galley G4A-1C,HEAVY FLOW OF WATER COMING FROM CART STOWAGE AT G4A-1C-4A1C20 ON TOP OF DESCENT,"AREA CHECKED , FOUND WATER CAME FROM GCU CONDENSATION , AREA CLEANED AND DRIED OUT .",80199779,Behind carts,Condensation,2023-12-31 07:14:59.344,-26.1392,28.2468,2023-12-31,1.11
A6-BLY,NRT,2023-12-31 00:37:39.321,A6-BLY001720-001,Galley G2F-1C,WATER FLOW WENT OFF AFTER TAKE OFF IN R2 GALLEY,R2 GALLEY AREA INSPECTED.NIL WATER LEAK FOUND.,80199694,Behind carts,Nil Leak,2023-12-31 03:48:33.649,35.7721,140.3929,2023-12-31,3.18
A6-BLP,AUH,2023-12-30 17:59:14.437,A6-BLP001597-003,Galley G2F-1C,2F1C13 STOWAGE ONCE CART IS OUT WATER SPRINCLES WITH AIR FROM THE CHILLER,"2F1C13 GALLEY FOUND WITH WATER CONDINSATION, SAME CLEANED WITH NO SIGNS OF WATER LEAK IAW AMM 25-31-00-01A-364A-A REV 50/ OCT 2022",80199506,Behind carts,Condensation,2023-12-30 20:40:21.417,24.426389,54.651389,2023-12-30,2.69
A6-BLE,GVA,2023-12-28 06:09:03.163,A6-BLE001548-006,Galley G2A-1C,ACCUMULATES WATER AS THE ICE DRAWER SINK IS BLOCKED,CARRIED OUT REWORK OF THE STRAINER I.A.W CMM 25-37-56 REV 07 DATED 03 JUL 2023.,80198025,Ice Drawer,Ice Drawer drain clogged,2024-04-17 12:40:29.029,46.2381,6.1081,2023-12-28,2670.52
A6-BMB,MNL,2023-12-24 07:01:30.613,A6-BMB001742-001,Galley G1F-1C,RECURRING WATER LEAKAGE IN R1 GALLEY UNDER ICE DRAWER LEAKING INTO THE CARTS,CLEANED R1 GALLEY.NIL LEAK FOUND.NORMAL,80195806,Ice Drawer,Nil Leak,2023-12-24 14:13:57.397,14.5086,121.0198,2023-12-24,7.21
A6-BMB,AUH,2023-12-15 15:35:37.565,A6-BMB001721-004,Galley G1F-1C,ESTIMATE 1L WATER LEAKED FROM ICE DRAWER TO GALLEY FLOOR DURING TAKE OFF,FOUND THE DRAIN BLOCKED SAME CLEANED IAW AMM 38-31-25-00A-258A REV 143/30NOV23,80190646,Ice Drawer,Ice Drawer drain clogged,2023-12-15 16:46:44.951,24.426389,54.651389,2023-12-15,1.19
