A/C REG,Flight Airport Arrival,Created Date,Number,Location,Text,Action Latest Text,External Reference,Leak Location,Findings,Action Latest Signature Date,Resolution Time,latitude,longitude
A6-BLB,AUH,2024-07-04 13:20:43.371,A6-BLB001753-002,Galley G4A-1C,R4 GALLEY WATER LEAKAGE. WATER SHUT OFF VALVE WAS CLOSED.,"R4 GALLEY AREA CHECKED,NIL WATER LEAK FOUND,WATER SHUT OFF VALVE NORMALISED AND ALL GALLEY CHECKED FOUND NIL WATER LEAK.SUSPECTED WATER FROM GALLEY CHILLER DUE TO CONDENSATION.",80471789.0,Behind carts,Condensation,Closed,,24.4409181,54.6377049
A6-BMB,AUH,2024-07-02 20:14:32.377,A6-BMB002171-003,Galley G1A-1C,R1 GALLEY HAS WATER COMING OUT OF THE GALLEY DURING TAKE OFF,AREA CHECKED NO WATER LEAK FOUND. ,80471789.0,Behind carts,Nil Leak,Closed,,24.4409181,54.6377049
A6-BLZ,AUH,2024-06-30 15:17:25.156,A6-BLZ002289-002,Galley G1F-1C,WATER LEAKING FROM UNDERNEATHBTHE CARTS ON TAKE OFF AND LANDING,R1 & R2 GALLEY INSPECTED NIL POTABLE WATER LEAK.SUSPECT ICING MELTED FROM AIR CHILLER INLET.,80471789.0,Behind carts,Ice on chiller flaps,Closed,,24.4409181,54.6377049
A6-BLK,AUH,2024-06-17 15:45:09.633,A6-BLK002038-003,Galley G4A-1C,WATER LEAKING FROM GALLEY TOP AND FLOOR LEVEL FOR TAKE OFF & LANDING,CARRIED OUT INSPECTION REMOVED ICE AND FOUND NO WATER LEAK ,80471789.0,Behind carts,Ice on chiller flaps,Closed,,24.4409181,54.6377049
A6-BLK,AUH,2024-06-17 15:40:47.607,A6-BLK002038-002,Galley G2A-1C,WATER SEEPING INTO CABIN ON THE FLOOR.,CARRIED OUT INSPECTION AND REMOVED ICE NO WATER LEAK .NOW SATIS ,80471789.0,Behind carts,Ice on chiller flaps,Closed,,24.4409181,54.6377049
A6-BLB,LHR,2024-06-15 14:29:38.320,A6-BLB001720-005,Galley G1F-1C,THERE IS SLIGHT LEAKAGE OF WATER WHEN LANDING,LEAK CHECK CARRIED OUT GALLEY 1 NIL LEAKS FOUND - SATIS,80471789.0,Behind carts,Nil Leak,Closed,,51.4677389,-0.4587801
A6-BNB,AUH,2024-06-14 20:35:04.297,A6-BNB002303-002,Galley G1A-1C,AT TOP OF DECENT THE WATER WAS COMING FROM BEHIND THE CARTS ON BOTH SIDES AT R1GALLEY,INSPECTED AND FLUND ICE ON GALLEY COOLING OUTLET. SAME CLEANED. NIL WATER LEAKS NOTED FURTHER,80471789.0,Behind carts,Ice on chiller flaps,Closed,,24.4409181,54.6377049
A6-BMA,BKK,2024-06-09 10:12:59.697,A6-BMA002149-001,Galley G1F-1C,WATER LEAKING FOR TTL.,ICE DRAWER FUNCTION CHECK PEREFORMED. NO SIGN OF LEAK.,80471789.0,Ice Drawer,Nil Leak,Closed,,13.6818766,100.7485803
A6-BLN,MAD,2024-06-09 06:51:49.116,A6-BLN001986-002,Galley G2A-1C,WATER LEAKAGE FROM COMPARTMENT NO-2A1C14,CHECKED GALLEY 2 FOR LEAKS. CLEANED AND LEAK NOT NOTICED,80471789.0,Behind carts,Nil Leak,Closed,,40.4952269,-3.5733733
A6-BLK,AUH,2024-05-30 19:18:20.630,A6-BLK001994-002,Galley G1A-1C,WATER LEAK FROM THE TRASH COMPACTOR AREA ,"TRASH COMPACTOR REMOVED AND INSPECTED AREA BEHIND TRASH COMPACTOR FOR WATER LEAKS FROM DRAIN/SUPPLY LINES, NIL LEAKS OBSERVED, SUSPECTED WATER LEAKED FROM TRASH (WATER BOTTLES) AFTER OPERATION TRASH COMPACTOR.OPS TEST OF TRASH COMPACTOR C/O IAW DMC-B787-A-25-32-00-31A-320A-A REV148 30 APR 24.TEST OK. NIL WATER LEAKS ON GROUND",80471789.0,Behind carts,Nil Leak,Closed,,24.4409181,54.6377049
A6-BNB,AUH,2024-05-29 15:37:07.865,A6-BNB002267-003,Galley G1A-1C,WATER LEAKING FROM BEHIND CARTS DURING TAKE-OFF/LANDING. ,NO WATER LEAKING FOUND UNDER THE GALLEY COMP. SUSPECT CONDENSATION.,80471789.0,Behind carts,Condensation,Closed,,24.4409181,54.6377049
A6-BLI,AUH,2024-05-29 11:00:59.524,A6-BLI001940-002,Galley G2A-1C,"A HUGE QUANTITY OF WATER WAS NOTICED DURING TAK OFF COMING FROM THE MID GALLEY BULKHEAD TOWARD THE CABIN . AND ALSO FROM UNDERNEATH THE CARPET .
PS: GALLEY CHECKED , HOWEVER EVERYTHING WAS DRY. COULD NOT ALLOCAT THE LEAKAGE","ICE DRAWER DRAIN CLEANED AND GALLEY REFRIGERATION OUTLETS FOUND WITH ICE SAME. CLEANED, NIL OTHER WATER LEAKS NOTED FROM GALLEY. ",80471789.0,Behind carts,Ice on chiller flaps,Closed,,24.4409181,54.6377049
